content,sentiment
a railways officer when asked by the ticket checker to produce his tickets got very aggressive and staed abusing and using his authority in a very wrong way,disgust
a relative not acting on her promise,disgust
a rich man expressing disgust towards an alcoholic,disgust
a saturday night a bus full of drunken people,disgust
a scene in a film in which one man repressed another one by concidence their position was reversed the other man was repressed in an identical way as he did before,disgust
a series about freud was shown on tv in it a tampon had been set in the nose of a woman and forgotten there after great pain it was taken off closeup picture the woman was bleeding from the nose and the mouth,disgust
a similar feeling i felt quite recently while travelling in a taxi the driver treated me roughly and dishonestly he chose the longest route he overdrawed almost one lev more and he tried to be intimate with me,disgust
a sister broke a cup and when mother asked i was repoed to have been responsible,disgust
a situation of ove unfairness manipulation of people and its consequences,disgust
a situation where i ignored my beliefs and principles for a trip of whimsy,disgust
a sour looking man was beating his thin dog in remuera,disgust
a story i heard recently about a baby dying after sexual abuse,disgust
a striking act of ingratitude at a public vehicle,disgust
a student who lives in the same house where i live is an alcoholic he tries to manipulate other people with his money when he has drunk too much,disgust
a study visit to a chicken factory the butchery the smell the environment and the noise,disgust
a teacher gave me lower grades than i was entitled to and was hoping for,disgust
a teacher giving a test was called by a student by his first name he the teacher said that he didnt give him this libey,disgust
a teacher was very blunt in his relation to a child so that the child was very upset when arriving at home,disgust
a tiresome person held me up all day long i was very busy then i can not remember what the problem was he continously tried to make me talk to him and disturbed me,disgust
a too eager approach by a diy drunken person in a bus,disgust
a tv program on whalehunting,disgust
a very drunk person,disgust
a woman picked her nose and spit right next to me,disgust
a wurm dropped on my head,disgust
a young man was insulting and humiliating a drunken man,disgust
about my girlfriends sister who is a viper as i discovered some time ago,disgust
accidentally seeing a friend in a compromising situation with a stranger,disgust
after a pleasant evening with friends in my flat one of them did not want to leave because he wanted to sleep with me he said that he had fallen in love with me that he felt alone and so on,disgust
after a serie of facts that occurred between a colleague and me i staed to feel a ceain necessity to get apa and i didnt want to see her anymore,disgust
after buying a ticket i lost it before i reached my destination and the bus inspector dropped me at a place i didnt know,disgust
after joining my ma in social sciences i appeared for the first semester exam i failed one of the exams and when i looked at my results i felt disgusted and then i got angry,disgust
after learning on the news about this man who killed more than women and habitually copulated into their ine bodies,disgust
after my when i did not get admission in be i felt disgusted,disgust
after the accident which i described in shame i came to myself and saw how terrible everything looked like i disgusted myself and everything i saw,disgust
after the first of may i detested my fiances friends who had piled on to our pay and spoilt it completely,disgust
an acquaintance of mine revealed himself in a light unexpected to me,disgust
an engineer i know wants war so he can get a job making bombs,disgust
an officer at the dean of students office had promised me to give me a room the next day but he failed to keep his promise,disgust
as a child when i saw an unesthetic sight,disgust
at a ceain persons lack of cleanliness at home and personally,disgust
at a discussion a friend took a faschistic view what i had not expected,disgust
at a gathering i found myself involuntarily sitting next to two people who expressed opinions that i considered very low and discriminating,disgust
at a night club watching little tas trying to earn a living,disgust
at a pay i met a girl who drew me to her told me some nonsense and always wanted to kiss me,disgust
at a pay i saw two persons having a fight the aggressions and the hate between these persons produced an unpleasant impression on me,disgust
at a pay my best girlfriend got really drunk and went off with a guy she knows i really like,disgust
at a pay where the boys were telling revolting stories about the girls theyd been with,disgust
at a social event when none of the guests would help to serve food or clear tables it was all beneath them,disgust
at an antipornography meeting when samples from films and magazines were shown,disgust
at an unwohy behaviour of a man pettiness stupidity and mostly at a philistinism,disgust
at my father when he yelled and accused my sisters friend over the phone of doing something he didnt do or know anything about,disgust
at my grandmothers detestable and selfish conduct towards my elder sister although her behavior was due to senility and lack of understanding,disgust
at school a classmate who was a very good pupil had to help another boy who performed less well he told him on purpose the wrong things so that he had to repeat a year,disgust
at school i detested the spinach gruel which had lumps of flour in it,disgust
at school when the only thing people my age could think of was getting rolling drunk they couldnt have a good time without firstly getting drunk,disgust
at the butchers i saw an animal which had just been slaughtered blood was dripping on the floor,disgust
at the crowded conditions of living i always quarrel with my elder brother as he puts the tv volume at a deafening level and i can not practise my piano lessons thus i feel that my home is disgusting,disgust
at the hypocrisy of some of my friends,disgust
at the police centre a man between was brought in he was very drunk and in all likelihood had not slept indoors for a long time and had relieved himself in his trousers,disgust
at the sight of an insect such as the blackbeetle,disgust
at the underground station a drunkard came to speak to me he tried to ask me something but i did not answer so he began to speak about me with his companion i detested this diy growling man,disgust
at what i was capable of of selfishly using others for sexual encounters while i held a vision of having a deepening aboveboard you know girl next door devotion to a girl in my head my drives and actions did not match this so consequently i felt disgusted at my failure,disgust
at work when i did not get the full cooperation of my colleagues to complete an assignment,disgust
attitude to a related family,disgust
bad temper of the serving lady in the students dining hall,disgust
beaten up by a classmate in school,disgust
because of the examination i had to study night and day,disgust
being in a malaysian city with my girlfriend coming out of a picture theatre seeing her rush up to a taxi that a very old sick man was trying to get to seeing her take over the taxi,disgust
being looked at by someone i do not like,disgust
being mistreated by my former primary school teacher mr zalu,disgust
being on view in a meatfactory pigs being cut open pigs being suspended from nods blood everywhere decompsition,disgust
being sexually assulted on a bus,disgust
bisshop ter schure intoduced himself on tv to the dutch nation he spoke as if he was god himself and didnt discuss the way he had achieved this position,disgust
bus driver driving roughly old man fell off seat into aisle driver wouldnt stop disgusted with her behaviour,disgust
cant describe any disgust situation,disgust
cant remember any episode of disgust,disgust
cant remember any such feelings now,disgust
cant remember having had this feeling,disgust
class leader getting me to do things he did not want to do,disgust
class leader told me to collect homework for him,disgust
cleaning the bathroom of my apt and realizing my roommate who had lived there all summer by himself had never cleaned the place,disgust
close friends talking badly of other friends,disgust
coming home one night my sister was home and had been drinking heavily and staed picking arguments,disgust
cueing for a bus and the drivers having long dinner,disgust
cueing for bath for a long time,disgust
cueing in the students dining hall,disgust
dead rat in the kitchen of the university,disgust
deception from a person i loved very much,disgust
despite my being affectionate sincere and helpful to close relatives of mine they turned around and accused me of being inconsiderate in my relationship with them,disgust
discovering a good friend had lied to me resulting in a detrimental relationship with another person,disgust
disgust no maybe it is more precise to say revultion at a worm or a snake but i mean it in a social aspect when somebody had behaved like a scoundrel to you when by his actions he has made you change your attitude towards him but i thing this feeling the way i meant it is not typical for the people interrelations,disgust
disgust at a girl i know for continually feeling sorry for herself and never acting positively to do something about her problems,disgust
disgust at myself when i stroked a sleeping girls private pas,disgust
disgust for a person who treated me badly and has treated other people similarly including lying hiding facts being deceitful unfair etc,disgust
disgust is a feeling that i have never experienced with peoplie but on the other hand it has been with repulsive animals ie snakes on tv,disgust
disgust of drunkers and of blood,disgust
disgust with a subordinate,disgust
disgust with drunk people,disgust
disgust with myself for consistently making foolish errors in communicating with others asking for kg of nuts when i only wanted g,disgust
disgust with oneself after being intoxicated enough to go to bed with a stranger,disgust
disgusted with boyfriends mother her overpowering overprotecting and selfish attitudes,disgust
doctors ignored relative who complained about pain and is now dying of cancer,disgust
does not apply,disgust
dog di which thaws in the spring,disgust
doing poorly on a midterm,disgust
during a football game another player who was perspiring very strongly ran into me,disgust
during a movie in which i saw the effect of white settlers in africa,disgust
during a recent meeting mr a showed his excitement and overindulged in the notes delivered though his curiosity could not be blamed his way of accquiring knowledge was an extreme behaviour eg he always tried to know what i was reading and gained everything he could,disgust
during a summer holiday at a bar i happened to see a dead to the world woman,disgust
during lunch with some classmates a priest was also there he was eating desperately as if someone was going to take his plate away he did it with gluttony he wiped his hands on his suit several times and it was full of crumbs,disgust
during military service i heard the story of someone who tried to commit suicide and as a result of this got a week custody,disgust
during my bihday pay a friend drank too much alcohol so much that he had to throw up worst of all was that he couldnt leave my friend alone and that he was molesting her,disgust
during the chinese lessons a student often showed off moreover he misbehaved and dressed very badly so disgusting,disgust
during the py film session on tuesday one of the films shown was of an experiment on a live cat involving strapping it into a machine for possibly days and doing things to its brain,disgust
during the weekend at home my mother fries greasy and unhealthy meat dishes which make me feel sick,disgust
during these summer vacations a schoolmate who was not in my class went to britain before he left his classmates and some of us who were accquainted with him had a bbq on the beach when i arrived i saw that some people who were not close friends of the depaing personperson a were playing mahjong some others were playing bridge and a had nothing to do besides it was a who had prepared the food later when we wanted to talk and his classmates did not even have the decency to listen to him they only asked him a few questions halfheaedly and then they talked on their own some of their conversation was against me and another classmate,disgust
each time i am confronted with repos about repression and toure,disgust
ecoactivists demonstrated against a project to build a power station at the danube in the middle of a lowland forest hainburg and the government decided to delay it for another year when my father heard about it he said that we needed another hitler,disgust
encouter with a prostitute,disgust
ever since i have been a child the sight of any kind of wound,disgust
every time i meet a ceain person we cannot get on well together we dislike each other,disgust
father said if you are pregnant you will have to procure aboion i was filled with disgust against my father,disgust
fight with my mate after a quarrel,disgust
finding a hair in the soup,disgust
finding out my grades at the end of my sophomore year,disgust
finding out some people had been talking about me at my back,disgust
finding out that old and useless practitioners of retirement age will go to your english lectures and they do not understand english,disgust
finding that a girlfriend of mine was a prostitute and had been seeing many others during our relationship,disgust
first anatomy lesson,disgust
flicking through a magazine showing pictures of homosexual men committing various acts,disgust
for a drunk man about years old that i met one evening and who behaved impudently with the girls standing by,disgust
four weeks ago i felt very much touched to find an asciatic patient who had asked the very morning to be tapped of the fluid dying in the evening i was really disgusted because this was the medical staffs negligence had the clinical officers done something that very morning he might have been alive today,disgust
friends calling me fat pear shaped in front of a nice girl,disgust
from the cigarette smoke usually i feel disgust from it when i am in a restaurant,disgust
getting a low grade on my physics midterm,disgust
getting back my math midterm i received a lower grade than i thought i would get after going through the questions i felt that the grader had graded harshly and i had made only a few errors,disgust
getting into a crowded bus,disgust
girls dressed like foreigners in the university,disgust
given duty by the leaders which i do not like to do,disgust
grandfather lives in a home for the elderly he always looks forward to visits on his bihday by coincidence it was on mummys day however nobody went to see him is the own family more impoant than grandfather,disgust
grovelling people,disgust
having been unjustly punished i feel disgust towards the person responsible,disgust
having moved into a flat within the last week i felt some disgust that a bathroom tap had been left to drip with a faulty fawcet,disgust
having unwanted attention paid to me in my place of work harrassment and sexual harrassment by another worker disgusted by his implications,disgust
hear people talking at my back,disgust
heard some postgraduate students talking about girls being unsiutable to do medicine,disgust
heard someone boasting his foune telling and i knew he was lying,disgust
hearing norman jones get hysterical in parliament about law reform on the radio listening with others,disgust
hearing of a filthy situation over the phone,disgust
helping older people on the toilet,disgust
i am disgusted at the number of second year students who are pregnant illegitimately,disgust
i am disgusted by people who spoil their identity because of misbehaviour this morning when i was in a crowded bus i found a seat on which a university student was sitting on one side and he had put his bag and files next to him there was very little space left and i sat down while he kept on reading even when i leaned on him he did not put his bag away he did not respond and i felt very angry,disgust
i am disgusted with a nieghbour who is looking for all sos of quarrel with my parents and me he feels we are hampering his living close to us this has been going on for quite a long time,disgust
i am disgusted with liers hypocrites slanderers flunkeys,disgust
i am disgusted with my sisters husband on an early sunday morning after having knocked at my door he suddenly rushed in and finching me still in bed he began quarrelling about something i could not understand i heard his last words dont stare at me so because ill beat you in your bed i got up terrified and a thrashing followed,disgust
i am disgusted with the behavior of a car driver whose car would run over me and my friends during our autumn brigade,disgust
i am disgusted with the fact that bad singers play at the opera and not only there only because they are protegts or lovers of an impoant felow while at the same time some young and able singers work in a quite different field of life,disgust
i and my friends got acquainted with a guy from sofia who turned out to be gay but we found that out only after or days,disgust
i applied for a job of galso counselor and i made the strongest possible application but was denied an interview i felt disgusted at the system which by promoting the cause of minorities makes employing whites lowest priority,disgust
i assisted to a scene where the police attacked a person that didnt have his documents the savagery was too much and the attacked person bleeded to much,disgust
i attended a ceremony in denmark which is comparable to our halloween they build a large bonfire and place a life size dummy of a witch the crowd cheered when the dummy burst into flames,disgust
i became disgusted with the man on whom i had counted who i had trusted the man who should have been my mainstay my father i could hardly make myself and the others believe in this emotion it has cumulated after events and deeds everything can happen in this world,disgust
i broke an egg with which there was something wrong into a little cup there was a thick white wad in it i tried to take it out and throw it in the sink,disgust
i came across a group of people with the same basic ideasbeliefs who were all fighting and going against what they would say was good,disgust
i came across a woman in town who was very drunk she was swearing at everyone and carried on drinking even though she could hardly stand,disgust
i cannot remember exactly such a situation but i know that once i went to a very diy lavatory and that disgusted me,disgust
i caught a glimpse of a blackbeetle,disgust
i deliberately avoided a person who i wanted to hu and who wanted to talk to me,disgust
i detest any kind of constraint and hate the attempts of elder people to force me to a norm of behavior without having legal or moral rights to do it i felt this emotion when a neighbour of mine made me kick out my guests because they had talked very loudly and threatened that with connections she will expel me from the inst,disgust
i detested my father who was a drunkard he would rave threaten and blame my mother and me he finally drove us away from home,disgust
i didnt do very well on a midterm and im disgusted with myself because i was prepared and thought i did well,disgust
i discovered some pornographic literature in a workmates drawers the literature featured pictures of naked women defecating on one another,disgust
i do not like one of our neighbours as they are very selfish whenever they want something or need help they come to see us otherwise they do not even bother about people who live next to them,disgust
i dont remember about a situation when i have experienced this feeling maybe it was when i saw a drunkard in the street,disgust
i feel disgust at my neighbour because she comes to our house with her child who spoils our furniture,disgust
i feel disgust towards those who are responsible for the death of others,disgust
i feel disgust when hearing or seeing other people being treated inhumanely for example touring in chili,disgust
i feel disgust with my first boyfriend who made fun of our love in an abominable way,disgust
i feel disgust with some people when i see what they are capable of including lack of any dignity when trying to find a seat in the tram,disgust
i feel disgusted at my cousin who is badmannered does not know how to behave and talk to others he does not respect elders and lies all the time,disgust
i feel disgusted at not having got aa a in yesterdays practicals of g,disgust
i feel disgusted since i am unable to cope with all the wordly affairs as i spend much precious time to pursue my hobby and to be admist the people i love and long to be with,disgust
i feel disgusted when people do not understand me in the right way ie they misunderstand me,disgust
i feel disgusted with the bootlickers with helpless people,disgust
i feel disgusted with toadies hypocrites chameleons,disgust
i felt disgust about all my friends after having done a great effo to organize an evening together and didnt work out they put the blame on me after this i feel disgust towards those that blame me,disgust
i felt disgust after watching a picture on television about touring political prisoners in india this happened in the india of indira ghandi,disgust
i felt disgust as a result of one of my midterms i thought i had prepared well for it but the end result wasnt what i had expected,disgust
i felt disgust of diy,disgust
i felt disgust of my father when i knew he had a lover,disgust
i felt disgust toward meat when i felt sick with the steak after a week only on meat,disgust
i felt disgust when i kissed a guy that i know i was on the outs with my boyfriend and this person appeared but he has nothing to do with me,disgust
i felt disgust when i realized that i had eaten something fatty and vomited too much,disgust
i felt disgust when i received visitors at an odd hour i was seriously preparing for examinations so i did not appreciate their coming,disgust
i felt disgust when i saw a dead animal on the roadway,disgust
i felt disgust when i saw a drunkard vomiting very offensive matter,disgust
i felt disgust when i saw a friend walking in stagnant water without putting on gum boots,disgust
i felt disgust with a lady teacher who used to nag to mock to interrupt everyone of my fellow students each time we had a class with her in our first year,disgust
i felt disgust with a man i had trusted and respected to whose problems i had always shown deep understanding,disgust
i felt disgust with a person whose behaviour was out of the elementary human norms,disgust
i felt disgust with alcohol in general when a close friend of mine got so drunk that he didnt realize what he was doing and it was quite shameful,disgust
i felt disgust with the alcohol after i happened to see a young man who was dead to the world and who wallowed on the pavement this sight i watched from the bus,disgust
i felt disgusted about a teacher who had rejected all that was human in her she refused to accept the flowers we gave her for the eighth of march and asked for a foreign parfume instead,disgust
i felt disgusted at my teams poor perfomance prior to league play,disgust
i felt disgusted at the environment while getting back to my student lodging i did not see anything in the suburb which had been planned by taking peoples comfo into account,disgust
i felt disgusted on seeing my boyfriend after our separation one day he was begging at the mass transit railway station and at that moment i hated him,disgust
i felt disgusted one day when as we were eating a child defecated on the table side,disgust
i felt disgusted when a ceain lady spoke words of sarcasm when i was trying to propose to her,disgust
i felt disgusted when a fellow student asked me to marry him i had not expected this from him as he was a mere friend,disgust
i felt disgusted when i found out that someone had betrayed me that person had been dishonest with me and i felt used,disgust
i felt disgusted when i was in a helpless position at the loss of my fiancee,disgust
i felt disgusted when i was in a restaurant which didnt appear to be clean and orderly i do not like to be in unclean environments,disgust
i felt disgusted when i was not given money for lunch at school by my father as a punishment for beating my little brother,disgust
i felt disgusted when i went to one of the central hospitals where my hope of getting good treatment was turned down by one of the doctors who said i was alright despite my feeling pain,disgust
i felt disgusted when my appointment to meet the ent specialist had been turned down the specialist came from uk and went the same day and we do not have one,disgust
i felt disgusted when my cousin decided that she would stop going to school saying she wanted to get married she was only years by then and she didnt understand what she was thinking,disgust
i felt disgusted when somebody told me that my previous boyfriend was her boyfriend,disgust
i felt disgusted when we family avoided a problem which could be solved readily,disgust
i felt disgusted while studying for my applied psychology and mental testing papers in ba,disgust
i felt dusgust with a selfiterested person who ruined the life of another by means of utterly unfair methods,disgust
i felt it today when the bus driver shouted rather indecent words at a man without any reason whatsoever,disgust
i felt it when i saw a colleague of mine eating like a beast at the same time he was making gestures speaking and making the hell of a noise,disgust
i felt it when i saw our headmaster blushed ingratiating himself with high ranking officials,disgust
i felt some disgust for my boyfriend for a time after he had left me,disgust
i felt the emotion when i entered a ceain ward in the hospital to visit my relative who was sick,disgust
i felt this situation when a ceain woman from a close village shouted at my mother because she didnt get what she wanted she wanted some salt to put in her relish,disgust
i felt very disgusted at a friend to whom i had given a psychology book to read and she did not care to give me back the book during the exams,disgust
i found a big black beetle in my coffee cup it was alive big and it was moving its limbs,disgust
i found a big black spider near a bag of food,disgust
i found a cockroach crushed between two folders in my bedroom i called my mother,disgust
i found out accidentaly that while my uncle was away in canada my aunt had been bedding a young man on a regular basis,disgust
i found out that someone that i knew had someone else taking tests for her,disgust
i found some worms in the food and i had obviously eaten some,disgust
i get disgusted with the inherent racist attitudes of my brotherinlaw in putting down various ethnic groups and also my unwillingness to challenge him about these attitudes in order to keep the peace,disgust
i got disgusted with a man who was beating a woman in the street i just happened to be there but i was abhorred by the rudness,disgust
i greeted a friend and he did not respond,disgust
i had a classmate who was rather stupid i did not like him but i respected him when he tried to talk to someone they would not listen to him and i could not bear seeing this,disgust
i had a discussion with my wife about an overweight acquaintance of ours about her eating habits and the scars caused by her pregnancy,disgust
i had a friend who was very kind to me i tried my best to like him and understand him but when i was with him i could not help rejecting criticizing and blaming him i wanted to get away from him as soon as possible,disgust
i had a quarrel with a friend who lived with me in the same flat he moved out before he went he invited me and some friends for a drink at last he was totally drunk and smelled disgusting besides he told lies about us and behaved as if he was to be pitied,disgust
i had a very good friend boy and i thought i could rely on him but he behaved badly with a girl who used to trust us completely,disgust
i had been forced to get together with strange and disgusting classmates the things they talked about disgusted me and made me feel ill at ease i knew that i would feel unhappy if i stayed there but i was defeated by the social norms,disgust
i had experienced odd moments one time when a patient came into the ward in which i was working the patient was badly burnt in the right side of her body i was very nervous at the sight,disgust
i had intercourse with someone and then i realized that what i had done was wrong and it disgusted me,disgust
i had joined a youth group that observed the affairs of our community and so i had many oppounities to contact the government and the committee members of the district board a local executive structure we always tried to consult and discuss with them but we found that such people did not understand community affairs and they even dampened our enthusiasm in local affairs i did not understand why they had decided to work as community leaders,disgust
i had prepared a special meal for my boyfriend but when my brother came home he ate it all i was really disgusted about it,disgust
i had some so of a stomach virus last week and i vomited in college in the morning then in the cake shop three times during the trip home and again when i got home,disgust
i had this feeling when i met a girl not that she was diy but she was to fresh dump and childish,disgust
i had to change a babys clothes for the first time,disgust
i had to wash my grandmother because she did not get to the bathroom on time,disgust
i happened to see the videotape movie this is america pa one at my friends place,disgust
i happened to see two boys fighting one of them fell down and hu his head the other one used this to spank the head of the boy on the ground,disgust
i hate hypocrisy my friend girl tried to intrude into my affairs with my future husband after that she behaved as if nothing had happened,disgust
i hate the behaviour of my so called friends they use bad language spit boast and treat the youngsters badly,disgust
i have a horror of spiders and snakes on a walk through the wood i saw the body of a slowworm without the head,disgust
i have an adopted aboriginal sister i felt disgust due to the racism she has been subjected to,disgust
i have experienced disgust with some people usually double dealers,disgust
i have felt this feeling when a person whom i believe and respect lied to me,disgust
i heard a broadcasting programme about parapsychology the people in this programme used very difficult words which i couldnt understand they acted exaggerated without showing any feeling,disgust
i heard pa of a conversation in which one talked very low about women,disgust
i heard somebody talk about studies in a highly enthusiastic studentlike way,disgust
i lived together with my boyfriend one night he stayed away and next day he told me that he had chat up with another girl,disgust
i made friends with a classmate whose behaviour i did not like he tried to flatter other people and did not respect me,disgust
i met a ceain lady at the bus depot who was using a bad language but was a very sma looking lady,disgust
i met a girl years old married i liked her i asked her for a date and i kissed her i discovered that she lived nearby where i passed every day i got amused thinking that her husband would be or me i didnt talked to her anymore,disgust
i met my best friends husband with a prostitute,disgust
i met three drunk boys almost children they didnt look like normal people,disgust
i once got a phone call stating one of your friend is in jail please come and see him when i went to the jail and saw him i was disgusted,disgust
i once saw a programme on tv describing how ceain wild life films were made and was disgusted by the treatment of ceain animals in this paicular programme of the polar bear,disgust
i once saw an elderly lady who was not properly dressed she was wearing a transparent dress such things are not sopposed to be seen in african society,disgust
i once saw an old man up the road fossicking through the rubbish bins and the gutter i was really disgusted at first but ive seen him a few times since then and now i feel really sorry for him and i often give him cigarettes when i see him because he mainly goes after cigarette butts and it is revolting,disgust
i once watched the series called dynasty on tv and i detested it,disgust
i read a book about the sexual phantasies of women i read about a woman having sexual intercourse with a dog,disgust
i read a book about the situation in southafrica about the terrible violations of human rights i was disgusted with the white population,disgust
i read a book about toure the book described exactly how the touring was done,disgust
i read a book whose plot and expressions were obscene and in very bad taste,disgust
i read a newspaper aicle about dogs being stolen in order to use them for fighting purposes,disgust
i read a newspaper repo that a little boy was forced to look while his sister was raped,disgust
i read a story in the newspaper about butchers treating their animals very badly they disgusted me,disgust
i read about a monk who had been murdered and put into a barrel which was filled with blood of pigs,disgust
i read about a murderer who brutalized his victims by cutting open their stomaches and taking out their bowels,disgust
