content,sentiment
no matter how much you tries to forget it will always be there,sad
you were most precious trophy i had but i was the best game you played,sad
relationships are like glass sometimes its better to leave them broken than hu yourself trying to put it back together,sad
dont blame me for leaving blame yourself for not doing the right things to keep me,sad
i will forgive you but the way i look at you will never be the same as it used to be,sad
memories are the only reason we cant move on,sad
hope hold on pain ends,sad
many books are available onhow to love someone but a single book is not available onhow to forget the truely loveable one,sad
my mouth says im ok my fingers text im fine my hea says im broken,sad
promise we break them memories they break us,sad
i wish i could give you my pain so that you understand how much you hu me,sad
i will always care for you even if we are not together and even if we are far far away from each other,sad
why am i so afraid to lose youwhen you are not even mine,sad
apologies dont fix broken heas,sad
the most painful goodbyes are the ones never said but the hea already knows its over,sad
the truth is i cant hate you even if i try,sad
what was my fault,sad
you know my name not my story,sad
i act like i dont care but inside i care more than you can ever think,sad
lies dont end relationships the truth does,sad
i know i have no chance but somehow i cant stop trying,sad
how strange lies dont end relationships usually the truth does,sad
stop wasting your tears on someone who doesnt care to make you smile,sad
i was only a timepass in your lifebut someday u wil truly realise that the time passed wid me was the most beautiful time ever,sad
never trust those people who dont understand your feelings,sad
its hard to move on when you still care,sad
just because a relationship ends doesnt mean two people stopped loving each other sometimes they just stopped huing each other,sad
it sucks when you are ignored by the one person whose attention means the world to you,sad
i hate to see his face,sad
a dog is the only thing that can mend a crack in your broken hea,sad
if i delete your number you are basically deleted from my life,sad
im slowly giving up,sad
i hate seeing you because you bring back the feelings i tried so hard to forget,sad
sorry for caring sorry for trying but most of all i am sorry i let you in,sad
when a relationship fails its both their fault one for giving up and walking away and the other for not stopping them,sad
tears are prayers too they travel to god when we cant speak,sad
i want to be with someone who has experienced having a broken hea so that they know exactly how it feels and wont break mine,sad
i have learned that sometimes sorry is not enough sometimes you actually have to change,sad
i m so sorry my love,sad
i love you i trust you im sorry help me,sad
i am sorry for felling sorry,sad
saying sorry was the biggest strength,sad
dont say sorry for something you are planning on repeating later,sad
i miss your smile your face your hugsi miss you,sad
when your mood is upset for no reasonyoure surely missing someone,sad
nothing feels better than a surprise text from that person you miss,sad
when i miss you i read our old conversation smile like an idiot listen to songs that remind me of you then miss you more,sad
no calls no texts nothing but im still here thinking about you like crazy,sad
i cant lie i miss you,sad
i am missing you and its killing me,sad
i wish my phone would vibrate right now and your name comes up on the screen,sad
i miss your smile your face your hugs i miss you,sad
hey stupid i still miss you still love you i hope you will realize,sad
do i miss you everyday,sad
missing someone not being able to see them is the worst feeling ever,sad
sometimes a simple i miss you can change everything,sad
when i close my eyes i see you when i open my eyes i miss you,sad
sometimes its not the person you miss its the feelings moments and memories you had with them,sad
no calls no texts nothing but i am still here thinking about you like crazy,sad
no textsno callsnothingbut im still here thinking about you like crazy,sad
i need you so much closer,sad
i cant stop missing you,sad
i try not to miss you but in the end i still do,sad
i dont miss you i miss the laughs the smiles the good times the way things were,sad
no i am not okay i miss you,sad
i miss your name lighting up my phone,sad
whenever i miss you i just hug my pillow and imagine its you,sad
i wish we could go back to how we used to be i miss that,sad
a hug for you means i need you a kiss for you means i love you a call for you means im missing you,sad
the more i think of you the more i love you and the more i miss you,sad
where there is love nothing is missing,sad
im missing something in my life these days,sad
i miss seeing your name show up on my phone,sad
i miss you a little too much a little too often and a little more every day,sad
i miss the time when i actually meant something to you,sad
its never easy missing someone and knowing you cant do anything about it,sad
i still miss him i miss him im missing him,sad
theres always a person that you hate for no reason,sad
emotional pain will always hu more than physical pain,sad
my silence is just another word for my pain,sad
sometimes tears are a sign of unspoken happiness and smile is a sign of silenced pain,sad
the pain is there to remind me that im still alive,sad
i know my silence and my tears will heal my pain one day,sad
missing you can turn from pain to pleasure if i knew you were missing me too,sad
the most painful goodbyes are those which were never said and never explained,sad
love cant be proven with poems promises or presents sometimes only pain and patience can prove it,sad
the greatest pain that comes from love is loving someone you can never have,sad
yes ive changed pain does that to people,sad
it hus but its okay because we cant force someone to feel the same as well we feel for them,sad
dont be much closer to anybody because a small change in their behavior hus a lot,sad
i care too much thats how i get hu,sad
hu me with the truth but dont comfo me with a lie,sad
if you can go days without talking to me i am obviously not that impoant to you,sad
you can close your eyes to the things you dont want to see but you cant close your hea to the things you dont want to feel,sad
some guys just dont realize how much one little thing can hu a girl,sad
promises are worse than lies because you dont just make them believe you also make them hope,sad
perfect maturity is when a person hus you and you try to understand their siuation and dont hu them back,sad
it hus when you realize you arent as impoant to someone as you thought you were,sad
sometimes im not angry im hu and theres a big difference,sad
dont ask why someone keep huing you ask yourself why youre allowing them,sad
love is like a rubber band held at both ends of two people when one leaves it hus the other,sad
love always hus,sad
nothing hus more than realizing he meant everything to you but you meant nothing to him,sad
i wish i could give you my pain just for one moment not to hu you but rather so you can finally understand how much you hu me,sad
dont trust too much dont hope too much because that too much can hu you so much,sad
erase the messages delete the numbers and move on you dont have to forget them just accept that they arent that person anymore,sad
sometimes youre not in love you just care too much to let go because you dont want to hu them,sad
you only get hu if you actually give a fuck,sad
love is like heavenbut it hus like hell,sad
sometimes i wish i had the guts to hu you like you hu me but even if i had the chance i wouldnt take it,sad
i hope youll realize how much youre huing me someday,sad
time doesnt really heal a hea it just makes the hea forget about the pain,sad
sometimes its better to be alone nobody can hu you,sad
you fall in love you get hu thats life,sad
the deepest people are the ones whove been hu the most,sad
forget who hu you yesterday but dont forget who loves you tenderly today,sad
getting hu doesnt make me stupid it means i have enough hope and enough love in my hea to always think the best of people,sad
the only ones that can truly hu you deeply are the ones you love,sad
nothing hus more than realizing he was everything to you and you were nothing,sad
what hus you today makes you stronger tomorrow,sad
the hardest thing to do is watch the one you love love someone else,sad
one day youll realizeall the love that i gave to youis now being given to someone else,sad
silent people have the greatest hea,sad
when youre happy you enjoy the music but when youre sad you understand lyrics,sad
i get jealous because i am afraid someone is going to make you happier than i do,sad
sometimes you need to run away just to see who will follow you,sad
if you a girl make laugh she likes you but if you make her cry she loves you,sad
your emotions trouble you only in those things which you call yours,sad
when you can tell your story and it doesnt make you cry thats when you know youve healed,sad
never assume that someone likes you by their sweetness sometimes youre just an option when theyre bored,sad
you arent wohy of her silence if you cant respect her feelings,sad
we all get addicted to something that takes away the pain,sad
dear feelings i need you to move on,sad
no one stays with you permanently so learn to survive alone,sad
never search your happiness in other it will makes you feel none search it in yourself you will feel happy even when you are left alone,sad
i wish i could ignore you the way you ignore me,sad
i understand why you left but what i dont understand why im still waiting for you,sad
sometimes you just have to stay silent because no words can explain whats going on in your mind and hea,sad
i feel so alone sometimes,sad
if you dont want me dont mess with my feelings,sad
never depend on others too much because someday you will have to walk alone,sad
its hard to forget someone who gave you so much to remember,sad
its better to just quietly miss someone rather than let them know and just get no response,sad
there are billions of people in this world but sometimes you really need just one,sad
i never feel alone bcz loneliness is always with me,sad
sometimes i pretend that i dont care but really i care more than anyone else ever will,sad
no matter how hard you try some people will never change,sad
im the type of girl who smiles to make everyones day even though im dying inside,sad
when you sit alone you sit with your past,sad
i am scared of getting too close to anyone because those who said that they will always be there for me,sad
people who are always online are the loneliest agree,sad
i dont care who was before me as long as i know there is nobody during me,sad
i hope you will always remember all the great memories we created because i will,sad
we may forget the person but memories stay there forever,sad
just because we are not close anymore doesnt mean i dont care about you,sad
missing someone is a pa of loving them if you are never apa then you will never know how strong your love really is,sad
loneliness is better than a bad company,sad
you told me i was perfect but you still left i should have known my perfect wouldnt be good enough,sad
dont cry over someone who wouldnt cry over you,sad
when she ignores you thats when you need to talk to her the most,sad
sorry isnt always enough sometimes you actually have to change,sad
once upon a time i was stupid enough to fall in love with you,sad
walking with a friend in the dark is better than walking alone in the light,sad
every time you ignore me i regret every text message that i have ever sent you,sad
sometimes i hate getting close to people because i think they will just walk out of my life no matter how close we are,sad
some days i cant stop thinking about you and other days i wonder why i am wasting my time,sad
some things will never go back to the way they used to be no matter how much you miss them,sad
cheating is a choice not a mistake,sad
people always cheated mebecause i loved them like mad,sad
i just want an honest relationship no lies no mind games no cheating,sad
alphabets in teaching cheating are common those who try cheat u often teach,sad
i dont understand why people cheat if youre not happy just leave,sad
if you are in a relationship fliing is cheating,sad
people dont cheat by chance they cheat by choice,sad
once a cheater always a repeater,sad
once a cheater always a cheater they can never be trusted again,sad
cheating isnt always kissing touching or fliing if you gotta delete text messages so your paner wont seem them you are already there,sad
cheating is easy try something hard like being committed,sad
dont lie dont cheat and dont make promises you cant keep,sad
if you honest and frankpeople may cheat yoube honest and frank anyway,sad
there is no excuse for cheating in a relationship,sad
if you are not interested then dont cheat him better leave him,sad
its not cheating unless you get caught,sad
cheaters think everyone cheats liars think everyone lies keep this in mind,sad
if you had enough time to cheat you had enough time to think about it,sad
dont cry over someone that wont cry over you,sad
cheating is choice not a mistake,sad
you hu me but i still love you true love isnt found its built my silence is just another word for pain you killed what was left of the good in me i wish i could ignore you like you ignore me sometimes all you need is one person who cares sometimes all you need is one person who cares im that person everyone replaces after a whilexa sad whatsapp statusxa i dont care for the people who dont care for me no beauty shines brighter than that of a good hea if you give up on me im going to give up on me too ive been sad for years dont tell me it gets better behind my smile is everything youll never understand i stay home alone listen to music and think too much the worst kind of sad is not being able to explain why tears are words too painful for a broken hea to speak i like to be alone but i would rather be alone with you i say i dont care anymore but truth is i care too much sad quotesxa no matter how far you are you are always in my thoughts i say i dont care anymore but truth is i care too much i am tired of fightin for once i want to be fought for i hope youll realize how much youre huing me some day every time i trust somebody they show me why i shouldnt i really need to stop being so emotional about everything the root of disappointment comes from holding expectation sad whatsapp statusxa it hus to let go but sometimes it hus more to hold on i miss the the time when i actually meant something to you i wanted to text you but i remembered we dont talk anymore i wanted to text you but i remembered we dont talk anymore oh im sorry i forgot i only exist when you need something smiling has always been easier than explaining why youre sad i wish my brain had a map to tell me where my hea should go its so hard to pretend not to love a person when you really do love sometimes comes like a dream and leaves likes a nightmare sad status for whatsappxa sometimes it takes losing something realize to what youve had i feel like i waiting for something that isnt going to happen its not that i wanna have it its just that i wanna deserve it trust is like papers once its crumpled it cant be perfect again its sad how most people become who they promised theyd never be even when im huing so bad inside ill still smile say im fine wanted by many taken by none talking to some just waiting for one when people treat you like they dont care believe them they dont every bih is paid by death every happiness is paid by unhappiness sad whatsapp statusxa you know that nothing will change but for some reason you still wait sick of crying tired of trying yes im smiling but inside im dying theres nothing more depressing than having it all still feeling sad technically i am single but my hea is taken by someone i cant have love the heas that hus you but never hu the hea that loves you a relationship is only for two but some bitches dont know how to count use your smile to change the world dont let the world change your smile you may not be pushing me away but youre not fighting to keep me either there is nothing more depressing than having it all and still feeling sad nobody deserves your tears but whoever deserves them will not make you cry sick of crying tired of trying yes im still smiling but inside im dying sad quotesxa find someone who knows that youre not perfect but treats you as if you are the word happiness would lose its meaning if it were not balanced by sadness and sometimes you just have forget about that person you once loved move on worst kind of pain is when youre smiling just to stop the tears from falling its never the tears that measure the pain sometimes its take smile we fake i feel like a balloonlooking bright cheerful but empty and lonely inside isnt it sad when you get hu so much you can finally say im used to it the toughest pa of letting go is realizing that the other person already did i keep myself busy with things i do but every time i pause i still think of you you lose yourself trying to hold on to someone who doesnt care about losing you and sometimes you just have to forget about that person you once loved move on at least tell a lie that you love me i will live the rest of my life with that sad status for whatsappxa people cry not because theyre weak its because theyve been strong for too long you touched my hea with a thousand pleasures and broke it in to million pieces i know they say that first love is the sweetest but that first cut is the deepest its not always the tears that measure the pain sometimes its the smile we fake the worst kind of pain is when youre smiling just to stop the tears from falling im not upset that you lied to me im upset that from now on i cant believe you people cry not because theyre weak its because theyve been strong for too long when you truly love someone you given everything you can and never expect a return sad whatsapp statusxa its sad when you realize you arent as impoant to someone as you thought you are i did the searching and remembering heshe did the disappearing and the forgetting when i cry about one thing i end up crying about everything thats messed up my life even if we cant be together in the end i am still glad you were a pa of my life people leave because its easier to walk away than to fight for what they really want everything isxacomplicated even those things that seem flat in their bleakness or sadness every thought is a battle every breath is a war and i dont think im winning anymore nothing hus more than realizing he meant everything to you you meant nothing to him everythings complicated even those things that seem flat in their bleakness or sadness moving on sound easy but i died thousand times in pain just to appreciate this phrase yeah shes smiling but dont let that fool you look into her eyes shes breaking inside sad quotesxa i was playing back a thousand memories baby thinking about everything weve been through words but deeper than knives a knife can be pulled out words are embedded into out soul yeah shes smiling but dont let that fool you look into her eyes shes breaking inside it doesnt matter who hu you or broke you down what matters is who made you smile again i dont know why they call it heabreak it feels like every pa of my body is broken too people change for two reason they have learned a lot or they have been hu too many times sad whatsapp statusxa sometimes the girl whos always been there for everyone else need someone to be there for her everyone want happiness no one wants pain but you cant make a rainbow without a little rain there are so many things that make you happy dont focus too much on things that make you sad heavy heas like heavy clouds in the sky are best relieved by the letting of a little water sad whatsapp statusxa never expect things to be happen because it better to feel surprised than to feel disappointed pain is the only thing that makes me feel alivei will never be good enough for you i got that it hus the most when the person who made you feel so special makes you feel so unwanted today letting go doesnt mean youve stopped caring it means you stopped trying to force someone too i think im afraid to be happy because whenever i do get too happy something bad always happens the worst person to be around is someone who complains about everything and appreciates nothing the saddest people ive ever met in life are the ones who dont care deeply about anything at all smile its easier than explaining why you re sadi dont think you know what you are doing to me i hate the fact that you ignore me for so long then you sta talking to me like nothing happened sad status for whatsappxa i think im afraid to be happy because whenever i do get too happy something bad always happens sometimes you got to accept the fact that ceain things will never go back to how they used to be the moment when you burst out crying in you room you realize that no one know how unhappy you are the people experiencing the most pain tend to be the ones who are always trying to make others smile i will always care for you even if were not together even if were far far away from each other waiting is painful forgetting is painful but not knowing which to do is the worse kind of suffering crying is the only way your eyes speak when your mouth cant explain how things made your hea break eight letters three words one regret i miss youi stay home alone listen to music think too much i will always care for you even if were not together and even if were far far away from each other sad whatsapp statusxa sometimes crying is the only way your eyes speak when you mouth cant explain how broken your hea is i didnt lose you you lost me youll search for me inside of everyone youre with and i wont be found a breakup is like a broken mirror its better to leave it than hu yourself trying to pick up the pieces so i guess it ends here we will go out separate ways hope that well see each other somewhere in future if you can learn from the worst times of your life youll be ready to go into the best times of your life sad whatsapp statusxa cry as much as you want to but just make sure when youre finished you never cry for the same reason again im sorry i tried being prefect but its just not mei have been sad for years dont tell me it gets better i have a habit of falling too hard and falling too fast and getting my hopes up for something i know wont last sometimes when i say i am okay i want someone too look me in the eyes hug me tight say i know youre not you treat me like shit for no reason yet i m still in love with you stop breaking my hea i just want to love you sometimes i dont tell people whats wrong because most of the time theyre just being curious not because they care i am fighting alone being depressed is an everyday fight i am tired of being sad now trustnothing feels right one get used to being alone but its enough to break it for a day you have to get used to it again from the beginning you cant control everything that happens to you but you can control how you react to the things that are out of your control the loneliest moment in someones life is when they are watching their whole world fall apa and all they do is stare blankly sad statusxa apologizing doesnt always mean youre wrong the other person is right it means you value your relationship more than you ego the pain is not on the day of missing our dear ones the pain is really when you love without them with their presence in your mindxaxasad quotes youre the first person who broke my hea for the rest of my life you will always be the on who hu me the most dont forget that have you ever noticed that the more special you treat someone the more that someone takes you for granted as if you wont ever change expression of eyes can be read by everyonebut depression of hea can be read only by best onecare for everyone but dont lose the best one,sad
some say i am too sensitive but truth is i just feel too much every word every action and every energy goes straight to my hea,sad
the person i was yesterday is no compared to the person i am today,sad
its not just the goodbyes that hus its the flashbacks that follows,sad
the smile on my face doesnt mean my life is perfect it just means i appreciate what i have and what god has blessed me with,sad
courage doesnt mean you cant get afraid courage means you dont let the fear stops you,sad
sometimes crying is only way your eyes speak when your mouth cant explain how broken your hea is,sad
crying does not mean that person is weak it means that person has a hea,sad
emotional girls have a kind hea and theyll show the true feelings without any cheap behaviour,sad
the people who were once close to me now act as complete strangers,sad
respect every single drop of water either it is from sky or eye,sad
were the perfect couple were just not in the perfect situation,sad
trust me there r so many games more interesting than playing with emotions,sad
worst pa of life is being surrounded by many but still no one noticing ur problem,sad
i like darkness so that i can see the stars brightly,sad
rain falls when cloud couldnt bear the weight of water tears fall when hea couldnt bear the weight of the pain,sad
a dog is the only thing on eah that loves you more than you love yourself,sad
dont waste your tears crying over someone who doesnt even deserve to see you smile,sad
i smile to the camera i smile to my friends i smile to my family i smile to the world but i cry for myself,sad
sometimes a good cry in the shower is all you need to release the pain that has build up inside,sad
an eye with dust and a hea with trust always cries,sad
crying is how your hea speaks when your lips cant explain the pain you feel,sad
when a girl cries over a guy its normal when a guy cries over a girl he will never love another girl like her,sad
if youre going to make me cry at least be there to wipe away the tears,sad
never cry for the person who hus you just smile and say thanks for giving me a chance to find someone better than you,sad
a tear is made of water and feelings,sad
cry is a love detector when someone makes you cry it shows how much you love them and how much their relationship means to you,sad
i cry then i cut then i cry again it never ends,sad
stop crying over yesterday and sta smiling for tomorrow,sad
an eye with dust n a hea with trust always cries,sad
tears come from the hea and not from the brain,sad
sometimes you have to hold your head up high blink away the tears and say goodbye,sad
instead of wiping your tears wipe away the people who caused them,sad
depression sucks,sad
feeling wohless as always,sad
my has been really bad lately which is not good for my mental state i feel very overwhelmed,sad
im think ima lay in bed all day and sulk life is hitting me to hard rn,sad
so when i try i fail and when i dont try i still fail and,sad
extreme sadness,sad
my life in one word is depressing,sad
panic attacks are the worst feeling really sick and still shaking i should be a sleep,sad
feel so grim ugly atm,sad
honestly depression is kicking my ass lately,sad
at my age all i see is gray is it gray because of my bad eyes or my perspective,sad
after idk why i sta feeling so depress sad and lonely,sad
i sulk too much for my own good,sad
a night where depression is winning,sad
going home is depressing,sad
we cant even grieve over one black body before another one pops up due to pig brutality,sad
its a gloomy ass day,sad
wow im just really sadden by that terrible,sad
my heads still in ibiza but my body is sat at me desk at work,sad
dont leave me,sad
its been a week of awful connectivity with no service or only g is not what im paying for,sad
this the most depressing shit ever,sad
sometimes the worst place you can be is in your own headnn,sad
my service is down in cleveland oh whats going on,sad
what a sad evening clearing out all of harveys cage and belongings now so final goodbye my little man,sad
when you have doe run the opposite side of you,sad
the moment of the day when you have to sta to plaster a smile in your face,sad
i hate when its gloomy outside because it always gets me in a depressing mood,sad
people stealing things from my work out quite the damper on my day so now i am going to wear pajamas all day,sad
ring ring is here,sad
its now september and were still battling a situation that was said to be handled march of this year this is unacceptable,sad
yeah im sure it will its just so depressing having to talk to my parents over the phone instead of talking to them downstairs,sad
at home sick the blues wont cure it so i need ideas,sad
i wouldnt wish anxiety and depression even on the worst of people its not fun,sad
sorry main twitter im in depress,sad
im surrounded by those trump voters youre right it is fucking terrifying,sad
come to the funeral tomorrow at to mourn the death of my gpa,sad
jesus you just made think that of all the vols v fl games ive seen ive never seen a win,sad
after spending i was offered a voucher i asked if i could spend it at weekend was told no valid today only,sad
thought i had a pretty solid gpa as a kin major and now that i look at the average for dpt programs i feel even more discouraged,sad
depress,sad
lament a nsaddened heanso far amp nyet so nearnthe years sontough amp scarrednthis lonesomenroadnstill feared nn,sad
summer officially ends today,sad
well my evaluation came back and i am minimally effective student test scores on the parcc sunk my eval its time for me to quit teaching,sad
bad news fam life is still hard and awful,sad
oh i should just get over my and be happy dont you think ive tried that thousands of times already youre not helping,sad
im really constipated this is depressing,sad
when health insurance wont cover tms but they let me know they cover ect,sad
somewhere between and the day after n,sad
im despondent,sad
applications for my dbs and still waiting been over a year now going to loose my job,sad
i miss when social media was a place to get laughs off and jump in dms lol shit is depressing now,sad
the three rs depress me,sad
too many gloomy days,sad
the weather sure matches the mood in this state today,sad
and again diy and self loathing attitude mope talking,sad
wearing all black tomorrow as i continue to mourn the lives of the most recent victims of police brutality,sad
am i the only person who dislikes fall,sad
