content,sentiment
nobody is perfect even dettol kills only of germs,happy
im on a seafood diet i see food i eat it,happy
exams in the university are closer than they appear,happy
decided to burn lots of calories today so i set a fat kid on fired,happy
i remember when my old nokia phone said i had low battery it meant that i had days to find a charger,happy
what if girls can read minds every second a boy gets slapped,happy
i have come to the conclusion that google must be female as she has the answer to everything,happy
girls are like police even when they get a hold of all the evidence they still want to hear the truth from you,happy
mirrors dont lie lucky for you they dont laugh either,happy
if you love someone set them free if they come back set them on fire,happy
when someone hates you for no reason give them a reason,happy
nonurgent calls only p,happy
sometimes i think to write lol at the end of every answer in exams,happy
i dont care what people say or think about me at least am attractive to mosquitoes,happy
im not sad for being single rather im thinking about her who is single because of me,happy
not always available try your luck,happy
i think uruguays luis suarez is the man to bit the apples logo,happy
the average millionaire goes bankrupt at least times i have gone times pretty close,happy
of people will yawn after reading the word yawn,happy
typing,happy
oh game over and you lost me,happy
you can do anything but not everything,happy
three mistakes of my life wtf whatsapp twitter facebook,happy
hey there whatsapp is using me,happy
waiting for ache din,happy
dear math im tired finding your x dude she is gone please move on bro,happy
namo modi victory has proved that a man can succeed only when his mother is near and his wife is away,happy
the word exams make me sick without pain,happy
my koochi my poochi please get my gucci even if you have to sell all your blood,happy
in todays world u dont have to b sma only your smaphone should be sma,happy
mera status dekhkar aapko kya mila babaji ka thullu,happy
we have a history together and english and french also,happy
i am in a relationship with studies and its complicated,happy
some people just need a highfive on the face,happy
i prefer work smaer instead of harder,happy
my condolences for confused in love and for broken hea,happy
act crazy dont regret do things you would never ever do because life is sho so live it up,happy
i hate that people who fa silently in public,happy
my phone is on airplane mode wtf its not flying,happy
after marriage the other mans wife looks more beautiful,happy
team work is impoant it helps to put the blame on someone else,happy
life is beautiful from friday to monday,happy
i will marry the girl who look pretty in her adhaar card,happy
i never forget a face but in your case ill be glad to make an exception,happy
being underestimated always serves as an advantage,happy
confession is good for the soul but bad for your career,happy
isnt it scary that doctors call what they do practice,happy
two peanuts were walking into a tough neighborhood and one of them was asalted,happy
never make the same mistake twice there are so many new ones,happy
someday sho people are gonna unite and take over the world,happy
i have flabby thighs but founately my stomach covers them,happy
installing love installation failed error install money first,happy
kids born in never have to worry about forgetting how old they are,happy
vegetarians if you want animals to live why do you eat their food,happy
bungee jumping is suicide with strings attached,happy
if the stuff that comes out of my mouth upsets you just think of all the things i keep to myself,happy
if your dog barks nd ememies laugh take it serious,happy
bye bye everybody bye bye usa,happy
people say you cant live without love but i think oxygen is more impoant,happy
i love being married its so great to find that one special person you want to annoy for the rest of your life,happy
im take a nice long shit so dont stress me,happy
happiness is homemade,happy
smile and the world smiles with you,happy
dont forget to smile,happy
a smile is a curve that sets everything straight,happy
when life gives you a hundred reasons to cry show life that you have a thousand reasons to smile,happy
smile and let everyone know that today youre a lot stronger than you were yesterday,happy
the purpose of life is to enjoy every moment,happy
learn to make yourself happy,happy
smile every minute of the dayyou never know who is falling in love with it,happy
aspire to inspire before you expire,happy
a fake smile can hide millions of tears,happy
life is beautiful conditions apply,happy
count blessings not problems,happy
every time you smile i smile,happy
you know whats beautiful read the first word again,happy
happiness is a perfume you cannot pour on others without getting a few drops of yourself,happy
be happy for this moment is your life,happy
let your smile change the world but dont let the world change your smile,happy
the best feeling in the world is when the person you like likes you back,happy
smile is the best medicine in the word so please keep smile,happy
one of the keys to happiness is a bad memory,happy
expand your happiness by sharing it with the larger a rainbow the more brightly it shines,happy
smiling is infectious you can catch it like the flu someone smiled at me today and i staed smiling too,happy
the more anger towards the past you carry in your hea the less capable you are of loving in the present,happy
happiness is not something you postpone for the future it is something you design for the present,happy
brain and beauty doesnt make you best in the world but how beatiful your thoughts to beautify this world,happy
always believe that something wonderful is about to happen,happy
next time when you think about a wonderful beautiful thing in life dont forget to include yourself in it,happy
happiness is not determined by what is happening around you but rather what is happening inside you most people depend on others to gain happinessbut the truth is it always comes from within,happy
when you finally let go of the past something better comes along,happy
noboday can take away your pain so dont let anyone take aways your happiness,happy
simply seek happiness and you are not likely to find it seek to create and love without regard to your happiness and you will likely to happy much of the time,happy
dear whoever is reading this youre beautiful and someone out there is crazy about you so smile life is too sho to be happy,happy
the best way to cheer yourself up is to try to cheer somebody else up,happy
live for the moments you cant put into words,happy
as soon as you trust yourself you will know how to live,happy
enjoy the little things in life for youll one day look back and realize they were the big things,happy
no one is the reason of your happiness expect you yourself,happy
the most impoant things in life arent things,happy
why waste you time getting hu by someone when theres someone else out there waiting to make you happy,happy
when life gives you a hundred reasons to cry show life you have a thousand reasons to smile,happy
do not let your past rob your future each new day is a chance to make a new beginning count your blessings live with gratitude and love with all your hea,happy
i can always make you smiling,happy
im wearing the smile you gave me,happy
happiness means you i love you,happy
be the reason someone smiles today,happy
smile and forgive its the only way to live,happy
the lower you set your expectations of people the less it hus when they disappoint you,happy
to be beautiful means to be yourself you dont need to be accepted by others you need to accept yourself,happy
strong people know how to keep their life in order even with tears in their eyes they still manage to say im ok with a smile,happy
think big thoughts but relish small pleasures,happy
happiness is not ready made it comes by our own actions,happy
the secret of happiness is doing what you love the secret of success is loving what you do,happy
if you cannot be a pencil to write anyones happiness then yous hould at least try to be a nice rubber to erase someones sadness,happy
you know life is woh the struggle when you look back on what you lost and realize what you have now is much better than before,happy
my real smile comes when i am with you,happy
youre the reason behind my smile,happy
a lot of people end up unhappy because they make permanent decisions on temporary emotions,happy
so many of my smiles begin with you,happy
happiness is when last seen at changes to online and then to typing,happy
the happiness of your life depends on the quality of your thoughts,happy
were so busy watching out for whats just ahead of us that we dont take time to enjoy where we are,happy
be thankful and count your blessings for what you have rather than what you want,happy
in order to live well you must makes a conscious decisions to be happy dont let the liitle things in life ruin your day,happy
smile it will make you look betterpray it will keep you strong love it will make you enjoy life,happy
i am always satisfied with the best,happy
train your mind to see good in everything,happy
smile it is the second best thing you can do with your lips,happy
happiness isnt a destination its the journey you choose to take,happy
spread more love than hate,happy
you cant buy happiness but you can buy ice cream and thats kind of the same thing,happy
sometimes your existence give hope to one person or your smile make someone else smileso value yourself,happy
i slept and dreamt that life was joy i woke saw that life was service i acted and behold service was joy,happy
a good laugh and a long sleep are the best cures for anything,happy
every day we are given is a gift and we should treat it that way,happy
the happiness of your life depends upon the quality of your thouhtsbut the quality of your thoughts depends on the persons whom you meet in your life,happy
never miss an oppounity to make others happy even if you have to leave them alone in order to do it,happy
cry forgive learn move on let your tears water the seeds of your future happiness,happy
i have many problems in my lifebut my lips dont know that they always smile,happy
deal with your problems before they deal with your happiness,happy
choose your thoughts carefully keep what brings you peace release what brings you suffering and know that happiness is just a thoughy away,happy
theres no fun in a perfect life so make a risk take a chance go where the mind takes youhave fun,happy
laugh alone and the world thinks youre an idiot,happy
i am stronger because i had to be i am smaer because of my mistakes happier because of the sadness ive known and now wiser because i learned,happy
sometimes the greatest gifts in life are the ones you cannot see but the one you can feel,happy
when you think youre not happy with youe life always think that someone is happy simply because you exist,happy
faith keeps you strong love keeps you whole and happiness keeps you alive so dont be a downer be happpy be strong be free be alive,happy
dont let the sadness of your past and the fear of your future win the happiness of your present,happy
smile in front of people who hate you ur happiness kills them,happy
if you arent happy with being single you will never be happy in relationship get your own life fist then share it,happy
dont wait for the good days just live the bad days as good as possible,happy
you dont need a boy to keep you happy all you need is to be yourself,happy
i hate when people say they miss youbut dont make a effo to speak to you or see you,happy
in order to stay happy in life you have to get rid of the things that make you unhappy,happy
the key to achieve inner happiness is to strive to make someone else happy instead of trying to make yourself happy all the time,happy
laugh when you can apologize wen you should and let go of what you cant change,happy
happy people dont necessarily have the best of everything they must make the best out of everything they have,happy
everything in life happens for a reason stop worrying about the reason and just live for what happens,happy
love what you have want what you need accept what yoru recieve give what you can forgive what you cant bless what you see be the light,happy
whatever makes you feel bad leave it whatever makes you smile keep it,happy
and when you smile the whole world stop stares for a while,happy
as long as you are looking back on the past you will never see whats ahead in,happy
there is no begining or end to your dreams or plans life is journey from moment to moment live each moment to its fullest,happy
smile and others will smile back,happy
kindness is the most meaningful form of progress,happy
play the moments pause the memories stop the pain rewind the happiness,happy
one of the simplest ways to stay happy is to let go ofall of the things that make you sad,happy
naughty by nature wild by choice,happy
the key of my happiness just forgetting my past,happy
i believe in love and marriage but not necessarily with the same person,happy
without her permission i will touch her only to wipe her tears,happy
im easy are you,happy
kiss me i am magically delicious,happy
i finally realized this i need you more than i thought,happy
a secret is what you tell everyone not to tell anyone else,happy
never place the key of your happiness into a pocket of another,happy
happiness temporarily escapes into the wilderness sometimes but it returns to fill your soul,happy
the inner soul indulges in your true happiness feed it,happy
dont analyze happiness let it flow without analyzing the rationality of it,happy
most people chose to be ceain that they are in a miserable state rather than leaping into the risk of being happy,happy
a way to spark of your soul journey into happiness is sparking light into anothers happiness,happy
we should quit trying to be happy we missing out on the good times,happy
bihday quotes for boyfriend,happy
happiness sparks off once one has mind settled but then sparks all over in random spus,happy
not many wish to share in your misery but all indulge in your happiness,happy
happiness cannot be commanded from a life program just delete unhappy brands blocking access paths,happy
laughing without cause are passionate expressions of true happiness,happy
apology quotes apologize quotes,happy
tune into happiness with that life song on happy melodies,happy
you do not have to be officially ceified and graduated to earn happiness,happy
count your troubles away and delve into countless joys,happy
do not sta to be aware of what a wonderful life you had in the past tense awaken to it in the present,happy
happiness is not miles away it is right by your side clinging to you to grasp it,happy
the moment of exploring in anticipation is a clinch of happiness beyond the final cave of it,happy
differing selffulfillment paths are taken just because others are not on the same road does not mean they are lost,happy
questioning what brings happiness is difficult to answer wealth has failed povey has failed sadness and happiness are parallel trails each time you pause one of them intervene your space,happy
all attempt a reversal in the life puzzle they begin by trying to build more wealth and assets to be happy the correct path is first to find your true happiness in order to grow into abundance,happy
new relationship quotes,happy
man strives to be happy leaving his pathway to happiness impossible,happy
serve your happiness wants elegantly on yourself,happy
reap and enjoy your happiness harvest,happy
hold your head high and straighten up shaking depression bubbles to air away,happy
crush quotes crushing quotes,happy
pleasure on eah comes in stray packages waiting to be seized,happy
dont fade away precious moments making up your mind about being happy it is about letting go,happy
happiness is a realm of true courage,happy
it is not fit to bear burdens of great joy seep into tranquil pleasure,happy
happiness is not about finally getting something we desired it is about appreciating what we already have,happy
compassion is the key to the happiness of others and your own,happy
happiness is a seed that roots into a blooming bliss,happy
there are moments now and again when all in the world is just so right a gentle heavenly wave on a soul journey,happy
a happy childhood never expires and can be embraced at any time,happy
happiness is good health with a poor memory that eliminates all the lifes failures,happy
love laughter health abundance and a tinge of luck the joy of happiness,happy
happiness is the byproduct of a goal,happy
happiness is not a location it is a direction,happy
outward beautification needs a soul happiness expression to resonate,happy
the true cosmetic for beauty is happiness,happy
one that is happy will devour enjoyment of the scenery on a detour route,happy
be one happy person this is a true formula to stay happy,happy
one obstacle kerbing happiness is expecting too much of it,happy
sculpt away misery engraving happiness into your golden flame of life,happy
happy thoughts are seeds that sow positivity in abundance,happy
happiness is an ideal of imagination and not reason,happy
a hea filled with joy has more woh than a pocket of coins,happy
happiness is not limited in one direction and spreads to all life quaers,happy
a satisfaction overdose leaves you bloated in happiness,happy
one loses happiness when wishing for more happiness,happy
avoid misery by having sufficient leisure to wonder about your state of happiness,happy
all have a basic right to pursue happiness just grab it as it waits in your path or create the happiness you desire,happy
bliss comes to those who are not on a chase for it chasing it will be a futile and exhausting path,happy
the root of unhappiness is a futile search for gaining happiness,happy
being content is a blessing that is not disguised,happy
happiness is a nest of love,happy
do not postpone happiness it is not a temporary phase but interwoven with eternal blessings,happy
we are in no position to be in control of the world but we can control our reactions to our life encounters choose happiness,happy
happiness prevails in the present and revives each new day in its presence,happy
happiness is a form of spiritual and harmonious spring you do not want to stop the feeling,happy
a good exercise is to jump for joy,happy
happiness is a joyful feast even if the first course was misery that had to be gulped away,happy
enjoy the sound of a centered soul in the harmonious bliss of happiness,happy
on the route to happiness many get detoured in the curved direction,happy
happiness is contagious sparking it off for one will spread the glow to many,happy
happiness needs to spread its wings and grow into every facet and not enclosed a clung perception of a limited enclosure,happy
happiness is ordinary and everyday consciousness without a concentration on the self concern,happy
the greatest gift to those who love us is simply being happy,happy
you may not always be happy but can always spread happiness,happy
happiness is not ruined in moments of great catastrophes but a repetition of minute habits,happy
a twinge of happiness scatters a mass multitude of grief,happy
happiness has to be produced to be consumed,happy
you are only as miserable as you perceive to be misery is created with seeds sprouted in thoughts of negativity,happy
happiness is the core of wisdom,happy
happiness is the task of the inner soul,happy
unhappiness is aspiring on a lost cause to get unknown wants,happy
be happy in the present or happiness will cease,happy
happiness has no attached price tags,happy
in a state of calmness and serenity inner peace overwhelms painful outer experiences,happy
happiness clustered is limited but letting go will expand the preciousness of it,happy
valuing the joy and merit of others will lead to happiness,happy
without pain you will not know happiness,happy
happiness is about your thoughts messages and actions are in order,happy
happiness is not about owning earning or consuming it is gratitude love and grace in a spiritual reality,happy
gathering crumbs of happiness which creates a full loaf of contentment,happy
happiness is harmony between men on the course of his life,happy
happiness is not about having a troubled mind or a pain in the body,happy
what we need to make us happy is to be enthusiastic about an aspiration,happy
happiness occurs naturally and seldom is a result of circumstances,happy
where there is joy pain melts away,happy
unhappiness can either be unwholesome food severe labor or erring life habits,happy
many people miss out on the bliss of happiness as they did not stop to embrace and enjoy it,happy
being grateful to those that harvest our garden of happiness makes our soul blossom,happy
for every one minute of anger sixty seconds of happiness is lost,happy
happiness is a choice that is conscious and not an automated response,happy
to be useful is to be happy and all else incidental,happy
counting all the blessings is a paramount key to unlock the door of happiness,happy
happiness is a soul journey,happy
the past is gone the future is not yet here so we need to embrace the present,happy
the best route of awareness is a realization of knowing that your problems are actually your own and there is no point in blaming them on family the government or the pastor who prayed with you bringing no results of springing happiness you are in control of your destiny,happy
the happiest in the world are those who fully love themselves and accept the responsibility of every life aspect,happy
optimism is a magnet of happiness staying positive will attract all the best for you,happy
practicing true compassion brings immediate happiness that is long lasting,happy
happiness is living each day as if it is your first honeymoon day and last vacation day,happy
happiness is about choice most are as happy as they chose to be,happy
we must learn to let go of the life we carefully planned and motion with the life waiting in our pathway,happy
freedom is by doing what you prefer to do but happiness is about liking what you have chosen to do,happy
spending a lifetime anticipating and preparing for a storm will seize moments to lay back and devour the sunshine,happy
each day is a new beginning a new chapter to sta afresh in a new spark forget about what did not happen or focus on what can be,happy
do not aim to be better than the other person but aim to better yourself,happy
happiness is not a piece of a lost puzzle it is selfcreated,happy
choose to live life as the miracle is in everything around you,happy
if you chase happiness it eludes you but just like a butterfly it will rest on your shoulder if you are not pursuing to capture it,happy
to be happy does not mean that all is perfect it means that you have chosen to look beyond any imperfections,happy
whether it is anger frustration jealousy or joy they are all universe gifts for our enjoyment or growth,happy
the journey of life should be one you fall in love with and once you love this journey of life you will always be in love with life,happy
happiness is a direction not a place the only thing that will make you happy is being happy with who you are,happy
happiness is letting go of what you think your life is supposed to look like,happy
success is not the key to happiness happiness is the key to success,happy
if you want to be happy set a goal that manages your thinking expresses your strengths and inspires your hopes,happy
figure out how to esteem yourself which means battling for your satisfaction,happy
not he who has much is rich but he who gives much,happy
if the only tool you have is a hammer you tend to see every problem as a nail,happy
you may also like best attitude status quotes for whatsapp,happy
distance between madness and talent is measured only by success,happy
never confine yourself to the limited imagination of others never limit yourself to others because of your limited imagination,happy
happiness is not something readymade it comes from your own actions,happy
happiness and sadness run parallel to each other when one rests the other begins to tingle the purpose of our lives is to be happy,happy
happiness is not a goal it is a byproduct,happy
the pursuit of happiness is one of the main sources of hunger,happy
when you love what you have you have everything you need,happy
to succeed in life you need two things ignorance and confidence,happy
dont wait the time will never be just right,happy
after every difficulty ask yourself two questions what did i do right and what would i do differently,happy
dont brood get on with living and loving you dont have forever,happy
doing the best at this moment puts you in the best place for the next moment,happy
lifes real failure is when you do not realize how close you were to success when you gave up,happy
if youre going through hell keep going,happy
happiness is where we find it but rarely where we look for it,happy
be miserable or motivate yourself everything you have to do is always your choice,happy
the first step to success is refusing to be a prisoner of the environment when you first find yourself,happy
dont miss awesome status in english,happy
attitude is as impoant as the ability for success,happy
judge your success by what you had to give up in order to get it,happy
spread love everywhere you go let no one ever come without leaving happier,happy
there is no cosmetic for beauty like happiness,happy
happiness is when what you think what you say and what you do are consistent,happy
the happiness of your life depends upon the quality of your thoughts,happy
happiness always looks small while you hold it in your hands but let it go and you learn at once how big and precious it is,happy
ups and downs victories and defeats sadness and happiness thats the best kind of life,happy
action is the key to all success,happy
victory is sweetest when youve known defeat,happy
success is simple do the right thing at the right time,happy
your work is to discover your world and then with all your hea,happy
achievement as a rule goes to the individuals who are excessively occupied for it,happy
success is largely a matter of holding on after others have let go,happy
sta where you are use what you have do what you can,happy
success seems to be connected with action successful people keep moving they make mistakes but they dont quit,happy
embarrassed by your failures learn from them and sta again,happy
i cant give you the formula for success but i can give you the formula for failure which is try to make everyone happy,happy
success is going from failure to failure without losing enthusiasm,happy
if you think a simple task is powerful just keep going,happy
the successful man is the one who finds out what is the matter with his business before his competitors do,happy
you have to learn the rules of the game at that point you need to play better than any other person,happy
amateurs sit and wait for inspiration the rest of us just get up and go to work,happy
dont interfere with what you cant do,happy
life isnt about finding yourself life is about creating yourself,happy
success is about how high you jump when you hit the bottom,happy
ever tried ever failed no matter try again fail again fail better,happy
what seems to us as bitter trials are often blessings in disguise,happy
your attitude not your aptitude will determine your altitude,happy
the successful warrior is the average man with laserlike focus,happy
my real smile comes out when i am with you,happy
love trust honesty long lasting relationship,happy
life is not about who hu you and broke you down its about who was always there and who made you smile again,happy
i can see the future let me give you a clue its me u,happy
sometimes words are not enough,happy
a man who truly loves you will be angry at you for so many things but will never leave you,happy
love is sweet when its new but sweeter when its true,happy
love is blind be careful,happy
the best love story is when you fall in love with the most unexpected person,happy
its nice when someone cares about you as much as you care about them,happy
dudeyou are lucky you got her she is yours so step up treat her right or she wont be yours for long,happy
just seeing your smile makes me feel better inside,happy
love is the other name ofrespectif you cant respect your lovedonethen you dont deserve to beloved,happy
every girl needs a good guy who can help her laugh when she thinks she will never smile again,happy
a memory of true love is like a favorite song no matter how many times it plays again you never get tired of it,happy
every girl deserves a boy who can change her life not only her relationship status,happy
i dont need a perfect relationship i just need someone who wont give up on me,happy
because of you i laugh a little louder cry a lot less and smile a lot more,happy
call me old fashioned but i actually take relationships seriously,happy
love is sweet when its new but it is sweeter when its true,happy
i hate it when facebooks always asking me what is on my mind coz its always you and i wont share you,happy
relationships takes two people not one person being faithful and another acting single,happy
sitting alone and enjoying your own company is better than being surrounded by fake people,happy
everybody knows how to love but only few people know how to stay in love with one person forever,happy
if you love her dont ever make her cry,happy
i may not be perfect but i am original,happy
communicationtrust a relationship that will last a lifetime,happy
i just want a cute long lasting relationship,happy
a single text from you can change my mood at any moment,happy
relationships are like drugs they either kill you or give you the best feeling of your life,happy
a day without you is always incomplete,happy
first you care then you get hu,happy
good relationships dont just happen they take time patience and two people who truly want to be together,happy
in every girls life theres a boy shell never forget in every boys life theres a girl he can never get,happy
relationships sta with can we talk and end in we need to talk,happy
i love it when you hold me like you will never let me go,happy
even though we are million miles away we will always be together,happy
i get mad because i care,happy
love doesnt depend on sight or sound just hea beats,happy
i want vitamin u,happy
your girlfriend is gorgeous and loyal why fli with other girls why cheat its like throwing away a diamond and picking up a rock,happy
my hea is perfect because you are inside,happy
i want an honest relationship no secrets no lies no cheating,happy
whatever the question the answer is love,happy
the happiest couples never have the same character they have the best understanding of their differences,happy
nice lips can i kiss them,happy
saying ive moved on but still feeling something when suddenly see the person,happy
best relationships usually begins unexpectedly,happy
a broken hea is what changes people,happy
i will never hu you is one of the most popular lies,happy
its crazy how you can go months or years without talking to someone but they still cross your mind everyday,happy
if you really love that person you wouldnt even think about cheating on them,happy
make a relation with someone who is not only proud to have you but will take every risk to be with you,happy
i wont give up on us,happy
real men dont date the most beautiful girl in the world they date the girl who makes their world the most beautiful,happy
beauty isnt about having a pretty face its about having a pretty mind a pretty hea and a pretty soul,happy
distance means nothing when someone means everything,happy
if you judge people you have no time to love them mother teresa,happy
i m in love with you,happy
cheer up sweet beautiful girl you are going to love again and it will be magnificent,happy
sometimes love is like a cactus the tighter you try to hold on the more it hus,happy
we are more than friends but less than a couple,happy
my hea is always your,happy
a true relationship is having someone who accepts your past suppos your present loves you and encourages your future,happy
i love you but i hate the way you act sometimes,happy
the hardest thing is not talking to someone you used to talk to everyday,happy
you dont mean anything to me you mean everything to me,happy
distance is just a test to see how far love can really go,happy
behind every beautiful girl is the ugly relationship that made her scared to love again,happy
just because were not close anymore doesnt mean i dont care about you,happy
relationships where you just sit around doing nothingbut still have fun because youre together,happy
dont make me an option when ive made you my priority,happy
my love for you is like a circle it has no end,happy
main rules in relationships dont lie dont cheat and dont make promises you cant keep,happy
dear ladies if he takes time to argue with you he cares about you more than you think,happy
we met we talked we liked we called we texted we dated we committed i loved you cheated were done youre deleted,happy
a real boyfriend never gives up on his girl he fights for her,happy
there is always someone who loves you more than you know,happy
im loyal but it always seems like im loyal to the wrong people,happy
when people get suspicious trust disappears,happy
love yourself first and everything else falls into line,happy
you are every reason every hope and every dream ive ever had,happy
true love doesnt have a happy endingbecause true love never ends,happy
looks arent everything find a hea that will love you at your worst arms to hold you at your weakest,happy
girls want a guy who say i love you every night and proves it every day,happy
if you were thinking about someone while studying youre definitely in love,happy
a relationship will only go as far as you both want it to,happy
maybe we dont have a perfect relationship we fought argue cry commit mistakes but we have similarities were both love each other,happy
texting is fine calling is okay but being with you is the best,happy
true love no doubts no jealousy no worries then life is good,happy
im not ignoring you im just waiting for you to talk to me first,happy
my last seen at was just to check your last seen at,happy
i need someone who will actually stand by my side no matter what mood i am in,happy
why jump into a reationship if your clearly not over the last one thats not fair to the other person,happy
i enjoy every moment i spend with you,happy
love when youre ready not when you are alone,happy
i want someone who comes into my life by accident and stays on purpose,happy
my mom told me angels are in heaven so why is she on eah,happy
relationship stas with can we talk and ends with we need to talk,happy
we all want someone who is scared to lose us and would do anything to keep us,happy
if my love for you is a crime i want to be the most wanted criminal,happy
there are billions of people in this world but sometimes you really need just one,happy
listen to my little hea it always says your name with every heabeat,happy
love isnt complicated people are,happy
in life i need only you,happy
i dont need geography you are my world,happy
accept me at my strongest suppo me at my weakest,happy
love is the greatest refreshment in life,happy
a real man cant stand seeing his woman hu he is careful with his decisions and actions so he never have to be responsible for her pain,happy
i love u dear with every beat of my hea,happy
your hea and mine are forever one,happy
the best feeling is that first kiss,happy
true love is when the only thing that makes you cry is seeing the one you care about unhappy,happy
love me less but love me long,happy
dont promise me the moon or the stars just promise you will stay under them with me forever,happy
fire is like love it keeps you warm but sometimes youll get burned,happy
we all have that one person that we will always have feelings for no matter whatjust one look and it takes you right back to those memories,happy
sometimes i pretend that i dont care but really i care more than anyone else ever will,happy
his story is history my story is mystery,happy
love is a bird let it fly,happy
sometimes i do want a romantic relationship like in the movies,happy
true love doesnt mean being inseparable it means being separated and nothing changes,happy
typing a huge paragraph with your true feelings but then erasing it and typing yeah,happy
the best relationship is when you can lay next to each other and just talk about anything and everything,happy
love is not about how much you say i love you but how much you can prove that its true,happy
love is blind but beautiful,happy
sometimes we dont know if some really have feelings for us or if its all just a game,happy
a relationship where you can act like complete idiots together is the sweetest thing ever,happy
wait for the boy that would do anything to be your everything,happy
laughing while kissing means i am completely comfoable with you,happy
you cant be just friends with someone youre madly in love with,happy
i dont ask for much because with you i have everything,happy
the hardest pa of acting like you dont care is knowing how much you actually do,happy
true love has a habbit of coming back,happy
all i need is your love,happy
love is master key of opening a gate of happiness,happy
i can live without money but i cannot live without love,happy
i need you like a hea needs a beat,happy
love is so strange sometimes it becomes reason to live life and sometimes it becomes reason to leave life,happy
best feeling comes when you get text from the person you were thinking about,happy
i think i love you but dont even know you,happy
relationships fail because girls love too much and the boys love too many,happy
i still care that s the problem,happy
some love one some love two i love one that is you,happy
god asks only that you include yourself among those you love,happy
i think the perfect hugs are when someone hugs me without me asking,happy
the shoest word for me is i the sweetest word for me is love the only word for me is you,happy
the best feeling is when you look at the one you love and theyre already looking at you,happy
one love one hea one destiny,happy
if we kiss im biting your lip,happy
true love does not tolerate outsiders,happy
dont play with someones hea if you have no intention for a serious relationship,happy
love the one who loves you not the one whom you love,happy
we fall in love by chance we stay in love by choice,happy
youre like a drug thats killing me,happy
without trust you dont have a relationship just two friends who act like lovers,happy
with you its different,happy
im not her first but i will do anything to be her last she is my one and only,happy
i admit that i get jealous when youre talking to someone else instead of me,happy
every relationship has its problems but what makes it perfect is when you still want to be there when everything sucks,happy
i like when you smile but i love it when im the reason,happy
you dont need somebody to tell you they love you you can tell by the way they treat you,happy
i want a long cute relationship where everyone is like damn theyre still together,happy
we come to love not by finding a perfect person but by learning to see an imperfect person perfectly,happy
youre the girl that i want to grow old with,happy
i only want things see you hug you kiss you,happy
i love you more today than yesterday but i do love you less today than i will tomorrow,happy
i love when people are straight up honest with their feelings it makes everything so much easier,happy
every time i look at the keyboard u and i always together,happy
can i borrow a kiss i promise ill give it back,happy
the person who hates you loves you the most,happy
i dont even know why i like you but i just do,happy
dont try to understand a girl completely if u do you either go mad or you will sta loving her,happy
you know you have experienced real love when you have lost it,happy
true love never dies it only gets stronger with time,happy
apologizing doesnt mean you were wrong it simply means you value your love and friendship over your ego,happy
when you really care about someone their happiness matters more than yours,happy
love is that which can never explained,happy
love does not begin and end the way we seem to think it does love is a battle love is a war love is a growing up,happy
only you can give me that feeling,happy
true love has a habit of coming back,happy
i lost my hea can any body see,happy
dont give them the keys to your hea if you know they will lose it love is about taking risks not being stupid,happy
honestly i dont have time to hate people who hate me cause im too busy loving people who love me,happy
